Year,coal,diesel,gas,hydro,solar,wind
2005-06,14625.97,6.51,,,,
2006-07,14809.29,6.97,,,,11.69
2007-08,8909.23,2.15,6893.77,,,11.93
2008-09,15951.55,2.51,,,,10.45
2009-10,18628.36,2.04,,,,0.03
2010-11,25867.54,1.97,,,,5.44
2012-13,27278.45,11.28,,,,4.26
2013-14,25338.28,8.63,,,,33.15
2014-15,26100.07,64.98,,,,42.68
2015-16,26952.38,3.83,,,,27.91
2016-17,26711.97,4.15,166,,,10
2017-18,26431.52,3.27,166,,1.6,10
2018-19,43616.82,2.01,,,30.3,83.71
2019-20,44692.87,20.35,17.8,,62.85,87.65
2020-21,54896.12,2.42,0.21,,67.15,43.42
2021-22,52962,3,,,62,47
2022-23,48013,3,,9,58,11
