Year,coal,diesel,gas,hydro,solar,wind
2005-06,4497.9,1920.86,356.04,,,55.48
2006-07,5700.6,1550.58,45.77,,,45.93
2007-08,6893.65,1296.45,68.21,,,32.08
2008-09,9222.58,797.54,133.51,,,25.38
2009-10,9958.62,1075.92,256.11,,,20.75
2010-11,10430.37,701.26,355.42,,,36.66
2012-13,15149.33,500.49,1.75,,,30.92
2013-14,15141.29,1238.55,65.56,,1.01,46.12
2014-15,16617.79,883.75,81.84,,1.29,37.9
2015-16,18688.22,802.87,79.33,,4.34,56.57
2016-17,18241.5,1235.41,187.6,,7.59,68.03
2017-18,18182.22,837.9,265.87,7.62,11.67,83.89
2018-19,18310.13,576.67,90.35,,51.58,66.38
2019-20,21181.38,97.1,246.56,70,87.01,104.17
2020-21,20334.97,79.52,242.28,70,229.81,88.71
2021-22,17247,74,164,70,311,175
2022-23,17165,76,251,,574,211
