Year,coal,diesel,gas,hydro,solar,wind
2005-06,7987.01,1003.84,291.81,115.49,,19.93
2006-07,13986.05,823.22,396.76,46.4,,15.72
2007-08,14167.4,744.57,2195.45,,,25.91
2008-09,19837.63,381.61,255.16,,,30.73
2009-10,17495.51,826.36,786.01,,,35.13
2010-11,28367.57,891.55,573.96,,,114.37
2012-13,35627.55,489.41,590.98,,,189.75
2013-14,38116.08,710.73,1232.57,,0.86,190.48
2014-15,43957.49,579.95,3046.34,,0.86,341.68
2015-16,46728.33,515.96,3813.28,,2.5,102.94
2016-17,45790.96,688.28,3259.19,,1.54,146.15
2017-18,45804.05,1104.2,2855.87,,8.56,142.09
2018-19,58544.53,640.54,2657.87,3.5,17.86,141.93
2019-20,64514.53,107.49,2884.81,3.5,28.2,183.24
2020-21,53971.73,582.88,1779.77,3.5,38.62,186.13
2021-22,56405,160,1338,4,48,174
2022-23,58118,254,1063,4,232,200
