Year,coal,diesel,gas,hydro,solar,wind
2005-06,5216.71,2589.01,6087.72,,,43.47
2006-07,5943.89,2261.47,6525.28,,,27.82
2007-08,8479.22,2099.02,6731.1,66.19,,48.61
2008-09,6336.68,2080.42,6162.47,66.19,,86.33
2009-10,7492.09,2046.11,7034.4,66.19,,68.94
2010-11,8773.11,1749.38,2277.84,66.36,,55.71
2012-13,10026.88,985.4,2797.29,32.48,,326.29
2013-14,10515.41,1010.77,2562.94,37.38,0.36,333.43
2014-15,10925.02,1013.24,2367.42,56.04,0.12,754.33
2015-16,9841.39,1155.35,2461.52,,0.03,621.36
2016-17,9874.68,1469.13,2643.85,,,679.81
2017-18,12054.37,991.15,2566.35,,0.93,602.49
2018-19,9944.26,514.75,2087.53,,40.45,436.14
2019-20,10730.93,289.92,4430.17,,211.54,1058.87
2020-21,9229.2,273.45,1597.97,,82.84,1070.63
2021-22,7845,308,1454,,94,663
2022-23,6762,241,1377,7,211,320
